id,happiness,survey_type,province,gender,nationality,religion,religion_freq,edu,income,political,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_type,work_manage,family_income,family_status,car,marital
41,5,,4,2,1,1,1,3.0,72000.0,1,5,5,4,4,3,5,1,4,5,5,,,,-1.0,4,1,7
42,4,1.0,4,1,1,1,1,7.0,48000.0,1,3,4,4,5,3,5,5,3,4,5,,,,48000.0,3,2,3
43,5,2.0,4,1,1,1,1,4.0,40000.0,1,2,4,5,2,2,4,1,2,4,5,,,,60000.0,3,2,3
44,3,,4,2,1,1,1,9.0,30000.0,1,5,5,4,2,2,3,3,1,5,5,,,,30000.0,2,2,3
45,4,,4,2,1,1,1,13.0,100000.0,1,4,5,4,2,3,4,4,4,7,1,3.0,1.0,2.0,150000.0,3,2,3
46,5,,4,2,1,1,1,5.0,180000.0,1,5,5,5,4,4,4,4,5,5,1,8.0,1.0,4.0,250000.0,3,1,4
47,4,,4,2,1,1,1,6.0,50000.0,1,4,5,5,1,3,3,1,4,5,1,3.0,1.0,3.0,-3.0,2,2,3
48,5,,4,2,2,1,1,4.0,20000.0,1,5,5,3,1,3,3,3,3,3,1,3.0,1.0,2.0,50000.0,2,2,3
49,4,,4,2,1,1,1,3.0,27600.0,1,2,1,5,1,3,5,1,4,6,4,,,,174000.0,2,1,7
50,4,,4,1,1,1,1,12.0,100000.0,1,5,5,4,2,4,4,4,1,5,1,2.0,2.0,2.0,200000.0,3,1,3
51,4,,4,2,1,1,1,3.0,40000.0,1,4,3,3,5,2,2,1,2,4,5,,,,70000.0,3,1,3
52,5,1.0,4,1,1,1,1,10.0,180000.0,3,4,5,5,2,4,3,2,4,6,1,3.0,1.0,2.0,240000.0,3,1,3
53,4,,4,2,1,1,1,4.0,45000.0,1,1,4,3,5,4,4,1,2,2,5,,,,45000.0,3,2,7
54,4,,4,2,1,1,1,12.0,200000.0,4,5,4,3,1,3,3,2,4,4,1,3.0,1.0,2.0,200000.0,3,2,1
55,4,,4,1,1,1,2,13.0,90000.0,4,3,5,3,5,2,3,3,1,2,1,3.0,1.0,2.0,150000.0,3,1,3
56,5,,4,1,1,1,1,12.0,150000.0,1,4,4,5,5,2,3,4,4,4,1,3.0,1.0,2.0,250000.0,3,2,2
57,5,,4,1,1,1,1,13.0,150000.0,1,4,5,5,2,1,3,5,2,8,1,3.0,1.0,2.0,250000.0,3,2,3
58,3,,4,1,1,1,1,7.0,50000.0,4,4,4,3,2,1,5,3,1,1,5,,,,84000.0,2,2,3
59,4,,4,1,1,1,1,4.0,48000.0,1,4,4,4,5,2,4,2,4,4,5,,,,48000.0,3,2,3
60,4,,4,2,1,1,1,12.0,100000.0,1,5,4,5,4,4,4,3,3,6,1,3.0,1.0,3.0,-3.0,3,1,3
61,4,,4,2,1,0,1,3.0,20000.0,1,5,5,3,4,3,5,1,2,6,5,,,,120000.0,3,1,6
62,4,,4,2,8,1,1,12.0,50000.0,2,4,4,4,1,2,2,2,2,5,1,3.0,1.0,3.0,100000.0,2,2,1
63,4,,4,1,1,1,1,7.0,-1.0,4,3,3,5,8,2,2,2,2,-1,5,,,,96000.0,3,1,3
64,4,,4,2,1,1,1,12.0,70000.0,1,2,5,5,5,2,4,3,2,5,1,3.0,1.0,2.0,200000.0,3,1,3
65,4,,4,1,1,1,1,10.0,120000.0,1,4,5,5,2,3,4,1,4,5,1,2.0,1.0,1.0,350000.0,3,1,3
66,5,,4,1,1,1,1,10.0,-1.0,4,4,5,4,5,3,4,3,3,5,1,3.0,1.0,2.0,-1.0,3,1,3
67,4,,4,1,1,1,1,11.0,150000.0,1,4,5,3,5,3,3,3,3,7,1,3.0,1.0,2.0,150000.0,2,1,4
68,4,1.0,4,1,1,1,1,9.0,0.0,1,2,3,2,2,2,4,2,2,5,5,,,,60000.0,3,1,3
69,4,,4,2,1,1,1,10.0,0.0,1,4,4,5,2,3,4,1,3,5,1,3.0,1.0,3.0,-1.0,3,1,3
70,5,,4,2,1,1,1,6.0,10000.0,1,2,3,4,1,4,3,1,4,1,3,,,,20000.0,3,2,3
71,4,,4,2,1,1,1,4.0,0.0,1,5,5,3,8,4,4,3,3,3,5,,,,150000.0,1,1,3
72,4,2.0,4,2,1,1,1,7.0,55000.0,1,2,5,3,2,4,4,2,2,5,5,,,,100000.0,3,2,7
73,5,,4,2,1,1,3,12.0,1000000.0,1,3,4,3,5,4,4,4,2,6,1,8.0,1.0,4.0,-1.0,5,1,3
74,5,,4,2,1,1,1,6.0,10000.0,4,4,4,4,4,2,2,4,1,5,5,,,,100000.0,1,1,3
75,4,2.0,4,1,1,1,1,13.0,200000.0,4,4,4,4,4,2,3,3,4,3,1,4.0,1.0,3.0,300000.0,2,1,3
76,4,,4,2,1,1,1,11.0,50000.0,1,3,4,5,2,4,4,5,2,3,1,3.0,1.0,2.0,60000.0,3,2,6
77,4,,4,1,1,1,1,4.0,70000.0,2,4,3,5,1,3,4,2,4,5,1,3.0,1.0,3.0,100000.0,2,1,3
78,3,2.0,4,1,1,1,1,10.0,25000.0,1,4,5,3,2,1,4,4,3,1,1,3.0,1.0,3.0,50000.0,1,2,1
79,5,,4,1,1,1,1,12.0,0.0,2,5,4,5,2,4,4,5,2,7,6,,,,100000.0,2,1,1
80,4,,4,2,1,1,1,12.0,100000.0,1,5,5,4,2,2,3,4,2,8,1,3.0,1.0,2.0,300000.0,4,1,3
81,4,,4,2,1,1,1,4.0,30000.0,4,4,5,5,2,2,2,5,3,1,5,,,,30000.0,1,2,7
82,4,,4,1,1,1,1,9.0,150000.0,1,5,5,5,1,1,2,1,1,5,1,3.0,1.0,1.0,180000.0,3,2,3
83,4,,4,1,1,1,1,3.0,40000.0,1,2,5,5,4,2,5,1,4,6,5,,,,70000.0,2,2,3
84,4,1.0,4,1,1,1,1,7.0,1000000.0,1,5,5,4,2,4,4,2,3,5,1,1.0,1.0,1.0,1000000.0,4,1,3
85,5,,4,2,1,1,1,6.0,24000.0,1,4,4,3,5,2,2,4,3,1,5,,,,24000.0,2,2,7
86,4,,4,1,1,0,3,7.0,300000.0,1,4,5,3,5,3,5,3,2,3,1,4.0,1.0,2.0,-1.0,2,2,1
87,4,,4,1,4,1,3,4.0,24000.0,4,3,5,4,5,2,4,2,3,5,1,3.0,1.0,2.0,40000.0,3,2,3
88,3,2.0,4,2,1,1,1,4.0,40800.0,1,3,3,3,5,1,2,1,1,1,5,,,,100000.0,1,2,3
89,5,1.0,4,2,1,1,1,4.0,35000.0,1,3,4,5,5,2,5,2,1,5,5,,,,-1.0,3,2,7
90,4,,4,2,1,1,1,1.0,40000.0,1,2,3,2,5,1,4,2,2,5,5,,,,80000.0,2,2,3
91,4,1.0,4,1,1,1,1,10.0,85000.0,4,3,5,5,5,3,4,4,4,5,5,,,,156000.0,4,1,3
92,5,,4,1,1,1,1,12.0,800000.0,4,5,4,5,2,4,4,4,4,8,1,1.0,1.0,1.0,1500000.0,4,1,3
93,4,,4,1,1,1,1,11.0,60000.0,4,4,5,5,2,2,4,4,2,2,1,3.0,1.0,2.0,160000.0,3,1,4
94,4,,4,2,1,1,1,4.0,33000.0,4,3,4,3,5,2,2,3,2,2,5,,,,70000.0,3,1,3
95,4,,4,2,1,1,1,11.0,150000.0,2,4,5,3,2,4,4,4,4,7,1,3.0,1.0,2.0,-1.0,3,1,1
96,5,1.0,4,2,1,1,1,7.0,60000.0,1,4,4,5,2,4,5,2,2,5,1,3.0,1.0,2.0,-3.0,3,1,6
97,4,,4,2,1,1,1,1.0,0.0,1,4,5,4,1,1,2,1,2,3,5,,,,50000.0,2,1,5
98,5,1.0,4,1,4,0,1,4.0,96000.0,4,3,5,5,5,2,4,4,4,5,5,,,,96000.0,4,2,7
99,5,1.0,4,2,4,1,1,12.0,-3.0,2,5,5,5,4,2,4,4,3,3,6,,,,100000.0,3,1,1
100,3,1.0,4,1,1,1,1,5.0,80000.0,2,4,1,3,1,4,4,3,3,5,1,3.0,1.0,2.0,150000.0,3,1,1
101,3,,4,1,1,1,3,4.0,30000.0,1,3,3,1,1,3,2,3,2,1,3,,,,30000.0,1,1,3
102,4,2.0,4,2,1,1,1,12.0,70000.0,1,5,5,5,4,4,4,2,3,8,1,3.0,1.0,3.0,1000000.0,4,1,2
103,4,,4,1,1,1,1,3.0,120000.0,4,1,2,4,2,2,4,2,4,4,5,,,,120000.0,3,2,3
104,4,,4,2,1,1,1,10.0,50000.0,1,4,4,5,2,3,3,3,4,5,1,3.0,1.0,2.0,100000.0,3,1,3
105,1,,4,2,1,1,1,3.0,0.0,1,2,5,2,1,4,4,2,2,1,1,3.0,1.0,3.0,-1.0,2,2,3
106,4,,4,1,1,1,1,4.0,4000.0,4,3,4,5,2,2,4,1,4,3,5,,,,20000.0,3,1,3
107,4,2.0,4,2,1,1,1,4.0,0.0,1,4,5,3,1,1,4,1,4,6,4,,,,120000.0,3,1,3
108,4,1.0,4,2,1,1,1,9.0,80000.0,1,2,3,2,5,3,3,3,3,5,1,3.0,1.0,2.0,200000.0,2,1,3
109,4,,4,1,1,1,1,6.0,1714.0,1,4,4,5,2,2,4,4,3,7,5,,,,20000.0,3,2,3
110,4,1.0,4,2,1,1,1,11.0,125000.0,1,5,5,5,2,2,4,2,4,6,1,3.0,1.0,2.0,-1.0,3,1,3
111,4,1.0,4,2,1,1,1,12.0,60000.0,4,5,5,4,2,2,3,3,2,7,1,3.0,1.0,2.0,200000.0,3,1,3
112,4,,4,1,1,1,3,4.0,80000.0,2,3,4,3,1,3,3,4,4,4,1,3.0,1.0,3.0,100000.0,3,1,3
113,4,,4,2,1,1,3,9.0,0.0,1,3,4,4,2,4,3,3,3,4,5,,,,80000.0,2,2,3
114,4,2.0,4,1,1,1,1,4.0,35000.0,4,3,4,4,2,1,5,2,4,5,1,3.0,1.0,3.0,120000.0,2,1,3
115,4,1.0,4,2,1,1,1,12.0,100000.0,4,3,4,4,5,3,4,3,3,5,5,,,,160000.0,4,2,3
116,4,,4,2,1,1,1,13.0,200000.0,2,4,4,2,5,3,4,3,2,6,1,3.0,1.0,2.0,500000.0,3,2,3
117,4,1.0,4,2,1,0,3,4.0,36000.0,1,1,2,5,8,1,3,1,3,3,5,,,,-1.0,2,2,7
118,2,1.0,4,1,1,1,1,9.0,50000.0,4,4,5,2,2,4,2,4,2,2,1,3.0,1.0,3.0,100000.0,3,1,3
119,2,1.0,4,1,1,1,1,6.0,50000.0,1,4,5,5,5,4,4,5,4,6,5,,,,100000.0,3,2,2
120,5,,4,2,1,1,1,10.0,150000.0,1,5,5,5,2,4,4,2,3,6,1,3.0,1.0,3.0,300000.0,4,1,3
121,3,1.0,4,2,4,1,1,7.0,50000.0,1,5,5,3,1,4,5,2,4,5,5,,,,10000.0,3,1,3
122,4,1.0,4,2,1,1,1,12.0,100000.0,1,4,5,5,8,1,3,3,4,5,1,3.0,1.0,4.0,100000.0,3,2,1
123,4,1.0,4,2,1,1,1,9.0,200000.0,1,3,4,4,5,4,4,4,4,6,5,,,,70000.0,3,2,4
124,4,1.0,4,1,1,1,1,13.0,120000.0,4,4,5,3,5,2,2,2,3,5,1,3.0,1.0,3.0,200000.0,3,2,3
125,4,,4,1,1,1,1,3.0,40000.0,4,3,3,4,4,4,5,1,3,3,1,3.0,1.0,3.0,120000.0,2,1,3
126,4,,4,2,1,0,3,3.0,40000.0,1,2,3,2,5,2,2,2,2,3,5,,,,40000.0,2,1,7
127,5,,4,2,1,1,1,10.0,50000.0,1,5,4,3,2,3,3,3,4,3,1,3.0,1.0,3.0,100000.0,2,2,3
128,4,,4,2,1,0,8,4.0,20000.0,1,5,3,2,1,3,2,2,1,4,1,2.0,1.0,4.0,40000.0,2,1,3
129,4,,4,1,1,1,1,10.0,100000.0,1,5,4,4,5,2,2,4,2,9,1,1.0,1.0,2.0,-3.0,4,1,3
130,4,,4,1,1,0,3,12.0,0.0,1,5,4,4,1,5,5,5,2,3,1,3.0,1.0,3.0,100000.0,3,1,1
131,4,2.0,4,1,1,1,1,11.0,32000.0,1,4,4,5,4,1,5,1,3,3,5,,,,60000.0,1,2,3
132,4,,4,2,4,0,1,13.0,150000.0,4,4,5,5,5,3,4,4,3,5,1,9.0,1.0,2.0,300000.0,2,1,3
133,4,,4,1,1,1,1,6.0,80000.0,1,5,5,4,5,3,3,3,2,2,1,3.0,1.0,2.0,150000.0,3,1,3
134,4,,4,1,1,1,1,11.0,0.0,2,4,4,5,1,2,4,3,4,6,1,3.0,1.0,3.0,200000.0,3,2,1
135,4,1.0,4,1,1,0,4,9.0,100000.0,1,3,4,2,5,2,3,2,2,5,1,2.0,1.0,1.0,300000.0,2,1,2
136,4,,4,1,1,1,1,6.0,48000.0,1,2,3,5,5,4,5,1,2,5,5,,,,70000.0,3,2,3
137,4,,4,1,1,1,1,12.0,120000.0,4,3,3,5,2,3,4,3,2,5,5,,,,200000.0,4,2,3
138,4,,4,2,8,1,1,7.0,25000.0,4,3,4,2,5,4,4,3,4,5,5,,,,100000.0,2,2,3
139,4,2.0,4,1,1,1,1,4.0,60000.0,1,5,4,3,1,2,3,3,4,3,1,4.0,1.0,3.0,80000.0,2,1,3
140,3,,4,2,1,1,1,11.0,35000.0,1,1,2,4,2,1,4,2,5,4,5,,,,36000.0,2,2,6
141,4,1.0,4,2,8,1,1,12.0,60000.0,2,5,4,5,1,2,4,3,4,5,1,3.0,1.0,3.0,60000.0,3,2,1
142,4,,4,1,1,0,3,7.0,36000.0,1,4,5,5,5,3,3,4,4,5,1,3.0,1.0,3.0,72000.0,2,2,1
143,5,,4,2,3,1,1,12.0,100000.0,4,4,5,5,5,4,4,3,3,5,1,3.0,1.0,2.0,1000000.0,4,1,3
144,3,,4,2,1,1,1,6.0,36000.0,1,3,5,5,2,1,4,4,2,5,5,,,,-1.0,2,1,3
145,4,,4,1,1,1,1,8.0,65000.0,1,5,5,5,1,1,1,1,4,1,1,3.0,1.0,2.0,65000.0,2,2,3
146,5,,4,1,1,1,1,13.0,-2.0,4,5,5,5,5,2,4,4,4,5,1,3.0,1.0,3.0,-3.0,3,1,1
147,5,,4,2,1,1,2,4.0,36000.0,1,3,5,3,5,4,4,5,3,5,5,,,,84000.0,2,2,3
148,3,,4,1,1,1,1,10.0,35000.0,1,3,2,5,5,2,5,4,2,4,5,,,,70000.0,2,1,3
149,5,,4,1,1,1,1,12.0,80000.0,4,4,5,5,5,4,4,4,2,4,1,3.0,1.0,3.0,-1.0,2,1,3
150,5,,4,1,1,1,1,12.0,100000.0,1,5,4,2,2,3,4,4,3,2,1,3.0,1.0,2.0,100000.0,2,2,3
151,3,,4,1,1,1,1,11.0,150000.0,1,3,4,2,2,2,4,3,2,4,1,3.0,1.0,2.0,250000.0,2,1,3
152,4,2.0,4,2,1,1,1,4.0,40000.0,1,4,5,5,4,2,2,1,3,3,1,3.0,1.0,3.0,80000.0,2,2,4
153,4,1.0,4,1,1,1,1,6.0,42000.0,1,3,5,5,5,1,4,4,4,6,5,,,,55000.0,1,1,3
154,4,,4,2,1,1,1,5.0,24000.0,1,3,5,3,5,2,5,2,3,5,1,3.0,1.0,2.0,54000.0,3,2,3
155,5,,4,2,1,1,1,12.0,1000000.0,1,5,5,3,2,4,4,3,2,7,1,1.0,1.0,1.0,1000000.0,4,1,3
156,5,,4,2,1,1,1,4.0,-2.0,1,3,5,5,1,3,4,1,2,5,1,3.0,1.0,2.0,-3.0,3,1,3
157,4,,4,2,1,1,1,13.0,10000.0,1,5,5,5,1,3,4,4,3,4,1,3.0,1.0,3.0,50000.0,3,2,3
158,4,,4,2,1,1,1,1.0,300000.0,1,3,5,4,2,4,4,4,3,6,1,8.0,1.0,4.0,600000.0,3,1,3
159,5,,4,1,1,1,1,9.0,2000.0,4,2,2,3,2,3,5,3,4,5,5,,,,84000.0,3,2,3
160,5,,4,2,1,1,1,4.0,40000.0,4,2,2,3,5,1,4,3,2,3,5,,,,40000.0,3,2,3
161,4,,4,1,1,0,1,10.0,130000.0,1,5,5,4,4,4,3,4,3,4,1,3.0,1.0,2.0,300000.0,3,1,3
162,4,,4,2,1,1,1,4.0,39600.0,1,4,5,5,4,5,4,1,3,4,5,,,,200000.0,3,1,3
163,3,1.0,4,1,1,0,3,13.0,400000.0,1,4,4,3,2,3,4,4,3,6,1,3.0,1.0,2.0,500000.0,4,1,3
164,5,1.0,4,1,1,0,9,3.0,17000.0,1,4,5,4,4,3,4,4,4,5,5,,,,300000.0,3,1,3
165,3,,4,1,1,1,1,4.0,22680.0,1,3,4,3,5,1,3,2,4,2,1,9.0,1.0,3.0,40000.0,2,2,3
166,4,,4,2,1,1,1,12.0,50000.0,4,4,4,3,2,3,4,3,4,4,1,9.0,1.0,2.0,200000.0,3,1,3
167,5,,4,1,1,1,1,6.0,36000.0,1,5,5,2,4,1,4,2,2,6,1,8.0,1.0,3.0,36000.0,1,2,3
168,5,1.0,4,1,1,1,1,12.0,150000.0,1,3,4,5,2,4,4,4,4,6,1,3.0,1.0,2.0,400000.0,3,1,3
169,5,,4,2,1,1,1,3.0,0.0,1,1,2,5,1,1,2,2,3,5,6,,,,0.0,1,2,1
170,5,,4,1,1,1,1,4.0,4600.0,4,2,2,5,5,1,3,5,3,1,5,,,,100000.0,2,1,3
171,3,,4,2,1,1,1,6.0,40000.0,1,3,5,5,4,1,4,1,4,3,5,,,,60000.0,2,2,3
172,4,2.0,4,2,1,1,1,4.0,20000.0,1,3,4,4,4,1,4,1,2,5,4,,,,140000.0,3,1,3
173,5,2.0,4,2,1,0,1,10.0,30000.0,1,5,4,4,4,1,3,3,2,2,1,3.0,1.0,3.0,50000.0,2,1,2
174,5,,4,2,1,1,1,6.0,80000.0,4,3,5,5,2,4,4,4,4,5,5,,,,160000.0,3,2,3
175,4,,4,2,1,1,1,4.0,30000.0,1,3,4,4,5,3,4,1,1,5,5,,,,60000.0,3,1,3
176,4,,4,2,1,1,1,6.0,40000.0,1,4,4,4,4,3,4,3,4,7,1,3.0,1.0,3.0,100000.0,3,1,3
177,4,,4,2,1,1,1,4.0,36000.0,1,3,3,4,2,3,4,2,2,5,5,,,,100000.0,3,1,3
178,4,,4,1,1,1,1,6.0,0.0,1,3,5,5,4,2,4,1,4,5,5,,,,50000.0,2,1,3
179,4,1.0,4,2,1,1,1,11.0,60000.0,4,4,4,4,5,2,4,4,4,5,5,,,,120000.0,2,2,3
180,3,,4,2,1,1,1,1.0,-3.0,1,2,2,3,1,2,4,1,2,3,4,,,,100000.0,1,2,7
181,5,,4,1,1,1,1,10.0,100000.0,4,5,5,5,6,4,4,4,4,4,1,9.0,1.0,2.0,150000.0,3,1,3
182,4,1.0,4,1,1,1,1,6.0,80000.0,1,3,5,5,5,4,4,4,4,3,1,3.0,1.0,4.0,100000.0,2,2,4
183,5,1.0,4,1,1,1,1,10.0,130000.0,1,3,5,4,2,3,3,2,4,5,1,3.0,1.0,2.0,200000.0,3,2,3
184,5,,4,2,1,1,1,11.0,50000.0,4,4,4,5,4,4,4,4,3,5,1,3.0,1.0,2.0,100000.0,2,1,3
185,4,,4,1,1,0,1,4.0,30000.0,1,5,5,5,1,4,3,3,2,3,1,3.0,1.0,3.0,200000.0,1,2,3
186,3,,4,2,1,1,1,4.0,20000.0,1,2,2,1,2,1,2,1,2,4,5,,,,100000.0,3,1,4
187,4,,4,1,1,1,1,7.0,0.0,1,5,5,5,1,1,5,2,3,5,1,3.0,1.0,3.0,50000.0,3,2,1
188,4,1.0,4,1,1,1,1,12.0,80000.0,1,2,3,2,1,1,3,3,4,2,1,3.0,1.0,2.0,80000.0,2,1,3
189,5,,4,2,1,1,1,6.0,120000.0,1,5,5,4,4,4,4,3,1,6,1,2.0,1.0,4.0,120000.0,4,1,1
190,4,,4,2,1,1,2,9.0,60000.0,1,4,5,2,2,2,4,2,3,5,5,,,,60000.0,3,2,1
191,4,,4,1,1,1,1,5.0,30000.0,1,2,4,3,2,3,4,2,4,6,5,,,,100000.0,4,2,2
192,2,,4,2,1,1,1,4.0,12000.0,1,3,4,3,5,3,2,3,3,2,1,5.0,2.0,3.0,20000.0,2,2,6
193,5,,4,1,1,1,1,12.0,200000.0,1,5,5,5,5,5,5,5,2,5,1,8.0,1.0,4.0,300000.0,3,1,3
194,4,,4,2,8,0,1,7.0,0.0,1,2,2,3,2,1,3,1,3,2,5,,,,5000.0,2,1,6
195,3,,4,1,1,1,1,4.0,36000.0,1,2,1,2,5,3,5,3,1,4,5,,,,36000.0,2,2,6
196,5,2.0,4,1,1,1,1,4.0,30000.0,1,5,4,5,1,4,4,4,3,2,3,,,,50000.0,1,1,3
197,4,1.0,4,2,1,0,6,6.0,3000.0,1,3,5,5,2,2,3,3,4,3,5,,,,8000.0,1,2,3
198,4,,4,2,2,1,1,4.0,30000.0,4,5,5,3,5,3,3,2,2,2,5,,,,100000.0,2,1,3
199,4,,4,1,1,1,1,4.0,25000.0,1,4,5,5,1,3,2,1,4,2,1,3.0,1.0,3.0,25000.0,2,2,3
200,5,2.0,4,2,1,1,1,12.0,72000.0,4,3,5,5,2,2,4,4,4,3,1,3.0,1.0,2.0,110000.0,1,1,3
201,4,1.0,4,1,1,1,1,10.0,50000.0,4,3,3,5,2,1,3,3,4,5,5,,,,100000.0,3,2,3
202,4,,4,2,1,1,1,4.0,80000.0,1,3,5,3,1,2,4,2,4,2,1,2.0,1.0,4.0,120000.0,2,1,3
203,4,,4,2,1,1,1,4.0,27600.0,1,3,3,4,4,2,5,2,4,5,4,,,,24000.0,2,2,7
204,4,,4,1,1,1,1,6.0,30000.0,1,3,2,5,5,2,5,2,1,1,5,,,,100000.0,2,2,3
205,1,1.0,4,1,1,1,1,6.0,0.0,1,2,1,1,5,2,3,2,2,1,5,,,,0.0,1,2,3
206,5,2.0,4,2,1,1,1,6.0,22800.0,1,3,4,5,4,4,4,2,4,3,4,,,,60000.0,3,2,3
207,4,,4,2,1,1,1,11.0,12000.0,1,5,5,3,4,1,1,1,2,5,1,3.0,1.0,3.0,80000.0,2,1,3
208,4,,4,2,1,0,4,5.0,50000.0,1,3,5,5,5,2,4,3,3,5,5,,,,200000.0,3,1,4
209,4,,4,1,1,1,1,10.0,200000.0,2,1,2,1,1,1,4,4,1,1,1,8.0,2.0,4.0,1000000.0,2,1,1
