id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,income,political,floor_area,height_cm,weight_jin,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability
42,4,2,24,70,110,16650,1,1959,1,1,3,4,10000.0,1,15.0,160.0,122.0,3,3,3,1,3,3,2,4,4,10000.0,2,2,1,2,7,2,3,3,2
43,4,2,10,28,51,16644,2,1969,1,1,1,4,20000.0,1,90.0,162.0,115.0,3,3,4,1,4,5,1,4,4,30000.0,4,2,1,2,3,2,2,4,2
44,5,1,4,7,21,16702,2,1984,1,1,1,4,10000.0,1,56.0,159.0,115.0,3,5,5,2,1,5,1,1,5,20000.0,4,2,1,2,3,2,1,3,2
45,5,1,29,82,125,16636,2,1997,1,1,1,6,0.0,2,126.0,160.0,112.0,5,5,5,1,4,4,3,1,4,60000.0,4,3,1,1,1,2,2,2,2
46,4,1,11,31,54,16635,2,1993,1,1,1,12,3000.0,2,200.0,167.0,120.0,4,3,3,2,3,3,4,3,3,70000.0,4,3,1,2,1,2,2,3,2
47,4,2,17,50,83,16644,1,1993,1,1,1,4,55000.0,2,200.0,170.0,125.0,5,5,4,1,3,3,4,4,3,80000.0,3,2,1,2,1,3,1,2,2
48,4,2,5,8,24,16653,2,1955,1,1,1,1,5000.0,1,65.0,160.0,125.0,4,4,4,1,4,4,2,4,5,10000.0,3,3,1,2,3,2,2,3,2
49,5,1,17,48,80,16643,1,1951,1,1,1,3,20000.0,1,97.0,175.0,125.0,5,5,5,1,2,3,3,4,4,110000.0,5,3,1,2,3,1,1,4,2
50,3,1,15,39,70,16627,1,1961,1,1,1,4,15000.0,1,50.0,170.0,130.0,5,4,4,2,2,3,2,1,5,30000.0,2,3,1,2,3,2,2,3,3
51,4,1,12,32,56,16645,2,1933,1,1,1,1,48000.0,1,100.0,155.0,100.0,4,4,5,5,4,5,1,4,5,73913.19252285441,2,3,3,2,7,3,1,4,2
52,5,1,10,24,46,16644,1,1984,1,1,3,4,30000.0,1,160.0,182.0,170.0,4,5,4,1,1,4,1,5,1,60000.0,3,3,1,2,3,2,2,4,2
53,5,1,4,7,20,16726,1,1997,1,1,1,6,0.0,2,60.0,170.0,120.0,4,4,4,2,4,5,5,3,10,73913.19252285441,3,5,1,1,1,1,2,3,2
54,4,1,5,8,23,16647,1,1985,1,1,1,10,80000.0,1,90.0,180.0,150.0,4,5,5,2,2,3,3,4,5,100000.0,5,4,1,1,3,2,1,3,2
55,4,1,31,89,134,16692,2,1944,1,1,1,4,12000.0,1,34.0,160.0,140.0,3,4,5,2,1,5,1,3,5,30000.0,2,3,1,2,3,3,1,3,2
56,4,1,5,11,27,16643,1,1950,1,0,1,4,30000.0,1,40.0,170.0,160.0,3,5,5,2,2,4,2,3,5,500000.0,2,3,1,2,3,2,2,5,1
57,4,1,7,18,38,16654,2,1954,1,1,1,10,24000.0,4,57.0,160.0,130.0,4,4,4,2,1,4,2,3,6,63600.0,2,3,1,2,3,1,1,4,3
58,4,1,15,42,73,16627,2,1965,1,1,1,4,3600.0,1,100.0,158.0,125.0,4,5,5,1,5,5,1,2,6,75000.0,1,3,1,2,3,2,2,3,2
59,4,2,23,69,109,16703,2,1982,1,0,3,3,2500.0,1,333.0,157.0,130.0,2,3,3,1,1,4,2,3,3,5000.0,3,2,1,2,3,3,1,3,2
60,4,2,18,55,89,16640,1,1969,1,0,4,4,35000.0,4,120.0,175.0,175.0,5,5,5,1,4,3,3,2,5,50000.0,5,2,1,2,3,2,2,4,2
61,4,2,2,3,10,16642,1,1996,4,0,2,6,5000.0,4,300.0,180.0,120.0,5,5,5,6,2,2,2,4,5,500000.0,3,4,3,1,1,2,2,4,2
62,4,2,21,64,102,16637,2,1954,1,0,9,3,0.0,1,234.0,156.0,130.0,2,3,4,1,2,3,1,3,5,100000.0,4,3,1,2,7,2,1,4,2
63,3,1,13,36,67,16680,1,1960,1,1,1,8,5000.0,1,100.0,176.0,154.0,4,5,5,5,2,3,2,2,5,10000.0,3,2,1,1,3,2,2,5,2
64,4,1,4,7,16,16726,2,1945,4,0,4,6,38000.0,1,115.0,162.0,122.0,2,5,2,2,3,4,4,4,4,90000.0,2,3,2,2,3,2,2,3,2
65,3,2,6,13,29,16653,1,1944,1,1,1,1,20000.0,1,180.0,168.0,118.0,3,3,3,1,2,3,1,3,4,20000.0,2,3,1,2,3,3,2,3,2
66,4,1,1,1,4,16668,2,1922,4,0,2,4,39600.0,1,79.0,150.0,85.0,1,1,3,2,1,3,1,4,4,150000.0,4,2,1,2,7,3,2,3,3
67,1,2,31,87,132,16660,2,1943,1,1,1,3,10660.0,1,80.0,165.0,100.0,1,5,1,1,4,4,1,5,10,21320.0,2,3,1,2,3,2,2,5,2
68,4,1,12,32,57,16690,1,1983,1,1,1,6,0.0,1,110.0,178.0,120.0,3,4,4,5,3,3,3,4,4,0.0,4,3,1,2,3,3,2,3,2
69,4,2,9,21,43,16621,2,1962,1,1,1,4,20000.0,1,200.0,160.0,110.0,3,2,3,1,4,4,1,4,5,20000.0,1,1,1,2,7,2,3,5,2
70,4,2,29,83,126,16638,2,1996,1,0,1,12,0.0,2,120.0,158.0,140.0,4,5,4,1,3,2,2,4,4,20000.0,4,3,1,2,1,2,2,4,2
71,4,2,18,52,86,16634,2,1968,1,1,1,1,0.0,1,200.0,158.0,124.0,5,5,5,1,2,3,2,2,5,50000.0,3,3,2,2,3,2,2,4,2
72,5,1,4,7,21,16696,1,1954,1,1,1,7,50000.0,1,64.0,169.0,130.0,3,4,5,2,2,3,1,1,4,80000.0,2,2,1,2,3,2,1,3,3
73,5,1,1,1,6,16673,2,1947,1,1,1,10,44400.0,1,60.0,160.0,98.0,4,4,4,5,2,3,2,4,3,91200.0,1,3,1,2,3,2,2,4,2
74,4,2,2,2,9,16639,2,1968,8,1,1,4,10000.0,1,266.0,165.0,100.0,4,4,4,1,2,3,2,4,6,85000.0,4,3,2,1,3,2,1,3,2
75,4,1,24,70,110,16656,1,1971,1,1,1,12,100000.0,1,100.0,170.0,150.0,5,5,5,4,3,4,4,4,6,250000.0,5,4,1,1,3,2,2,4,2
76,3,1,6,12,28,16645,1,1968,1,1,1,4,35259.56261583267,1,105.0,173.0,125.0,3,4,4,2,2,3,2,1,4,73913.19252285441,3,2,1,2,3,3,2,4,3
77,5,2,19,57,93,16635,1,1968,1,1,1,3,200000.0,1,96.0,160.0,130.0,2,2,2,1,4,4,5,3,4,200000.0,3,3,1,2,3,2,2,5,2
78,4,2,16,44,75,16641,1,1949,1,1,1,4,40000.0,2,60.0,168.0,140.0,4,4,4,4,2,3,3,4,4,40000.0,2,3,0,2,3,1,1,4,2
79,3,2,13,35,65,16700,1,1977,6,1,1,4,10000.0,1,128.0,160.0,130.0,4,3,3,1,3,4,1,2,3,20000.0,5,2,1,2,3,3,2,4,4
80,1,2,22,67,107,16621,1,1969,1,1,1,3,20000.0,1,85.0,173.0,126.0,3,3,2,1,3,3,1,4,4,20000.0,1,1,1,2,7,3,1,3,2
81,4,1,4,7,14,16726,1,1987,1,1,1,8,120000.0,1,57.0,170.0,135.0,4,4,5,1,2,4,2,2,6,120000.0,3,3,1,2,3,2,1,3,2
82,4,2,6,17,33,16651,2,1947,1,1,1,3,2000.0,1,120.0,155.0,120.0,4,4,4,1,3,2,1,2,5,3000.0,1,3,1,2,7,2,2,4,2
83,3,1,31,86,129,16664,1,1974,1,1,1,4,1400.0,1,40.0,166.0,105.0,2,2,3,2,2,2,1,4,1,5000.0,3,1,0,2,3,3,1,4,3
84,4,1,16,46,77,16644,2,1992,1,1,1,10,30000.0,1,444.1014000000002,162.0,95.0,4,4,4,1,4,4,4,4,4,10000.0,4,3,2,2,1,2,1,3,2
85,5,2,31,88,133,16664,1,1955,1,1,1,4,20000.0,4,40.0,164.0,110.0,4,4,3,1,2,4,4,3,7,40000.0,2,3,1,2,3,2,1,4,2
86,1,2,9,21,43,16622,2,1954,1,1,1,6,0.0,1,200.0,150.0,90.0,1,2,2,1,1,3,1,2,3,10000.0,2,1,1,2,3,3,3,3,2
87,4,2,15,40,71,16629,1,1952,1,1,1,3,25000.0,1,200.0,168.0,125.0,3,5,4,4,4,4,1,3,5,60000.0,4,1,2,2,3,2,2,2,3
88,2,1,19,57,91,16630,1,1960,1,1,1,4,20000.0,1,38.0,170.0,115.0,4,5,5,5,2,4,2,3,2,50000.0,3,2,1,2,3,3,3,5,4
89,4,1,9,20,42,16623,1,1954,1,1,1,4,30000.0,1,208.0,165.0,130.0,4,5,5,1,2,3,2,4,5,60000.0,2,3,1,2,3,2,2,4,2
90,5,2,2,3,10,16642,2,1970,4,0,4,3,5000.0,1,150.0,150.0,130.0,2,3,5,1,2,2,1,4,4,12000.0,3,3,2,2,3,3,1,4,2
91,4,2,29,84,127,16641,2,1977,1,1,1,4,0.0,1,20.0,155.0,110.0,3,5,3,1,3,1,2,4,5,15000.0,3,2,1,2,3,3,3,2,2
92,2,2,31,87,132,16660,2,1979,1,1,1,4,10000.0,1,50.0,164.0,98.0,1,2,3,1,3,1,1,2,3,10000.0,4,3,1,1,3,2,1,4,2
93,3,2,6,14,30,16653,1,1965,1,1,1,3,5000.0,1,100.0,168.0,130.0,2,3,3,1,2,3,1,4,4,5000.0,2,2,1,2,1,2,2,3,2
94,1,1,21,64,102,16634,1,1941,1,1,1,3,900.0,1,60.0,165.0,98.0,2,4,4,1,2,4,3,4,5,800.0,1,1,1,2,7,3,2,2,4
95,4,1,7,18,39,16660,1,1970,1,1,1,6,50000.0,4,67.0,182.0,160.0,5,5,5,2,1,3,2,4,5,80000.0,3,3,2,1,3,2,2,4,2
96,3,2,9,20,42,16621,1,1963,1,1,1,3,8000.0,1,80.0,170.0,120.0,3,2,3,1,2,2,1,3,2,8000.0,2,1,1,2,1,3,2,4,2
97,3,1,8,19,41,16653,2,1980,4,0,9,3,0.0,1,200.0,152.0,117.0,1,2,1,1,3,2,1,2,5,80000.0,5,3,1,2,3,2,2,3,3
98,4,1,23,69,109,16702,2,1987,1,1,1,4,60000.0,1,60.0,163.0,120.0,5,5,4,1,5,4,2,4,4,65000.0,3,2,1,2,3,2,1,2,3
99,4,2,22,66,105,16623,1,1995,1,1,1,4,30000.0,1,90.0,172.0,105.0,4,5,5,1,2,3,1,2,5,30000.0,6,3,1,2,1,2,1,3,2
100,3,1,4,7,14,16712,1,1962,1,1,1,6,60000.0,1,58.0,175.0,130.0,4,5,5,2,5,4,1,2,1,80000.0,4,1,1,1,3,3,2,3,2
101,4,2,24,72,112,16651,1,1951,1,1,4,3,1000.0,1,120.0,164.0,110.0,3,4,4,1,4,4,1,4,3,73913.19252285441,1,3,2,2,3,2,2,4,2
102,5,2,17,49,82,16644,2,1982,1,1,1,4,10000.0,1,306.0,156.0,110.0,5,5,5,1,4,4,4,4,7,30000.0,6,3,1,2,3,2,2,4,2
103,5,1,12,32,56,16647,2,1949,1,1,3,3,36000.0,1,55.0,160.0,134.0,4,5,5,5,4,5,1,3,5,150000.0,3,3,2,1,7,2,1,4,2
104,4,1,18,54,88,16629,2,1952,1,1,1,3,0.0,1,200.0,159.0,120.0,2,2,3,2,4,2,2,4,5,20000.0,2,3,1,2,3,2,2,4,3
105,4,1,22,65,103,16619,2,1975,1,1,3,4,3600.0,1,75.0,149.0,110.0,3,5,5,5,5,5,1,3,5,6000.0,3,2,1,2,3,2,1,4,3
106,4,1,12,32,60,16646,2,1978,1,1,1,4,15000.0,1,64.0,156.0,108.0,3,4,4,4,4,4,2,4,5,30000.0,3,3,2,2,3,2,1,3,2
107,3,1,26,76,116,16710,1,1995,1,1,1,12,0.0,1,60.0,168.0,104.0,4,4,3,2,3,3,2,3,4,50000.0,1,3,1,2,1,2,1,3,2
108,3,1,13,36,67,16683,1,1988,6,1,1,12,30000.0,1,70.0,170.0,130.0,4,3,3,2,5,3,3,4,2,90000.0,3,2,1,2,3,3,2,4,3
109,4,1,31,87,132,16671,2,1963,1,0,6,13,18000.0,1,63.0,165.0,150.0,4,5,3,2,2,3,1,4,1,50000.0,2,2,2,2,3,2,2,4,2
110,4,2,21,64,101,16636,2,1966,1,1,1,3,10000.0,1,100.0,165.0,100.0,3,3,4,1,4,3,1,4,4,20000.0,3,2,1,2,3,3,2,4,2
111,4,1,6,17,33,16652,1,1962,1,0,1,6,40000.0,1,108.0,167.0,160.0,3,4,5,2,3,2,2,4,5,60000.0,1,3,1,2,3,2,1,3,2
112,4,2,16,46,78,16645,2,1936,1,1,3,1,0.0,1,230.0,150.0,100.0,5,4,5,1,4,4,2,4,3,1000.0,1,1,1,2,3,3,2,4,2
113,3,1,26,75,115,16651,1,1975,1,1,1,4,15000.0,1,50.0,160.0,100.0,5,5,3,2,2,5,1,3,1,15000.0,2,2,1,2,1,3,2,3,2
114,4,2,22,66,106,16627,1,1978,1,1,1,9,80000.0,1,444.1014000000002,169.0,144.0,4,5,5,2,3,3,4,4,4,10000.0,5,3,1,2,3,2,1,3,2
115,4,1,21,64,101,16630,2,1965,1,1,1,4,8000.0,1,59.0,158.0,108.0,5,5,5,2,4,4,1,3,2,15000.0,2,2,1,2,3,3,1,3,3
116,3,2,24,72,112,16650,2,1963,1,1,3,1,6000.0,1,120.0,150.0,85.0,3,4,4,1,4,4,1,2,4,73913.19252285441,2,3,1,2,3,2,2,3,2
117,4,1,28,81,121,16647,2,1965,1,1,1,4,10000.0,1,15.0,161.0,124.0,2,2,2,4,2,2,1,4,5,25000.0,2,2,0,2,3,3,2,3,4
118,4,1,15,40,71,16628,1,1980,1,1,1,4,35259.56261583267,1,85.0,172.0,152.0,5,5,3,1,2,3,2,2,2,100000.0,3,2,1,2,3,2,1,2,4
119,3,1,1,1,2,16682,2,1948,1,1,1,6,33600.0,1,28.0,150.0,95.0,4,5,5,2,2,5,2,3,3,33600.0,1,2,1,2,7,3,2,3,3
120,3,2,29,83,126,16640,1,1973,1,1,2,3,3000.0,1,200.0,173.0,140.0,3,4,3,1,2,1,1,2,4,3000.0,3,2,1,2,3,2,2,4,2
121,4,2,9,20,42,16625,1,1954,1,1,1,4,25000.0,1,70.0,162.0,130.0,5,4,4,1,4,3,1,4,4,30000.0,1,3,1,2,7,2,2,4,2
122,4,1,15,43,74,16628,1,1971,1,1,1,12,50000.0,4,140.0,173.0,180.0,4,4,4,5,3,3,3,4,5,100000.0,2,3,2,1,3,2,3,4,3
123,4,1,1,1,3,16688,2,1987,1,1,1,6,30000.0,1,35.7,160.0,170.0,4,4,5,2,3,3,2,4,3,74400.0,2,2,1,2,1,3,1,3,2
124,5,1,26,74,114,16657,1,1988,1,1,1,6,50000.0,2,200.0,173.0,130.0,4,4,5,1,4,4,4,3,2,60000.0,1,3,1,2,1,2,2,3,2
125,4,1,16,46,77,16642,1,1992,1,1,1,12,0.0,2,120.0,168.0,120.0,4,4,4,1,3,4,4,4,6,40000.0,3,3,1,2,1,2,2,3,2
126,4,2,10,24,46,16641,2,1965,1,1,1,4,2000.0,1,66.0,160.0,132.0,4,4,4,1,2,3,1,3,6,50000.0,2,3,1,2,3,2,2,4,3
127,5,2,11,30,53,16635,2,1984,1,1,1,5,35259.56261583267,1,200.0,160.0,110.0,4,4,5,1,3,3,3,4,4,73913.19252285441,7,2,1,2,3,2,2,4,2
128,2,2,21,62,98,16633,2,1978,1,1,1,3,24000.0,1,120.0,170.0,120.0,4,5,5,1,3,3,2,2,3,30000.0,3,3,1,2,6,3,2,3,2
129,5,1,1,1,8,16686,1,1956,1,1,3,9,93600.0,4,70.0,176.0,169.0,3,3,4,2,3,3,4,4,7,150000.0,2,4,3,2,3,2,2,4,2
130,3,2,31,87,131,16663,2,1961,1,1,1,3,7000.0,1,70.0,160.0,130.0,4,4,4,1,4,4,1,1,3,30000.0,5,3,1,2,3,3,1,3,3
131,4,1,11,31,54,16636,1,1983,1,1,1,12,30000.0,1,150.0,178.0,145.0,4,3,4,1,2,3,2,3,3,50000.0,5,3,1,2,3,2,1,3,2
132,4,1,11,29,52,16632,1,1971,1,1,1,4,60000.0,1,120.0,178.0,159.0,2,3,3,1,2,3,2,2,4,110000.0,2,3,2,2,3,2,2,3,3
133,5,1,15,40,71,16627,2,1991,1,0,2,12,40000.0,4,70.0,156.0,98.0,4,5,5,2,1,5,3,2,5,100000.0,3,2,1,2,1,3,1,4,2
134,3,1,16,46,77,16642,1,1974,1,1,1,6,120000.0,2,100.0,165.0,120.0,4,4,4,1,3,3,4,1,6,150000.0,6,2,1,1,3,2,2,3,2
135,4,1,12,32,61,16649,2,1977,1,1,1,6,30000.0,1,300.0,158.0,120.0,4,3,4,4,4,3,2,2,4,80000.0,3,2,1,2,3,2,2,4,3
136,3,2,21,64,100,16636,2,1966,1,1,1,4,10000.0,1,260.0,163.0,130.0,4,4,3,2,2,4,1,4,5,50000.0,4,4,1,2,3,2,1,5,2
137,4,2,18,52,85,16637,1,1992,1,1,1,12,0.0,2,250.0,174.0,114.0,2,2,3,1,1,4,3,4,5,10000.0,3,2,1,2,1,3,2,3,3
138,5,1,21,61,97,16635,2,1947,1,0,9,3,24000.0,1,174.0,156.0,120.0,5,5,5,2,4,4,2,4,7,24000.0,2,4,1,2,7,1,1,4,2
139,4,2,18,54,88,16628,2,1936,1,0,4,1,0.0,1,200.0,155.0,80.0,4,3,2,1,3,2,1,4,6,73913.19252285441,3,3,1,2,3,3,1,5,2
140,3,1,27,80,120,16643,1,1957,1,1,1,6,40000.0,4,94.0,178.0,140.0,5,4,3,5,3,4,1,4,2,50000.0,2,2,0,2,3,3,3,4,2
141,4,1,22,67,107,16625,2,1996,1,1,1,12,0.0,2,100.0,160.0,96.0,4,5,3,2,3,4,3,3,5,50000.0,3,3,1,1,1,2,1,3,2
142,4,2,11,30,53,16634,2,1997,1,1,1,6,0.0,2,160.0,170.0,98.0,5,5,3,1,2,3,5,4,2,10000.0,5,3,1,2,1,2,2,5,2
143,4,2,26,74,114,16655,2,1993,1,1,1,11,35259.56261583267,1,150.0,150.0,80.0,5,5,4,1,4,2,4,3,5,30000.0,2,2,1,2,1,3,1,2,2
144,5,2,10,24,46,16643,2,1944,4,0,7,3,35259.56261583267,1,40.0,150.0,110.0,2,2,3,1,4,4,1,5,3,73913.19252285441,1,2,1,2,7,3,3,4,2
145,4,2,27,77,117,16634,1,1983,1,1,1,4,35259.56261583267,1,70.0,170.0,120.0,3,3,3,1,1,3,1,4,3,73913.19252285441,2,2,1,2,1,3,3,5,3
146,5,2,8,19,41,16648,2,1994,4,0,1,4,0.0,1,30.0,165.0,110.0,4,5,5,1,5,4,3,3,4,80000.0,3,3,2,2,3,2,3,4,2
147,4,2,6,15,31,16657,1,1948,1,1,1,3,20000.0,1,400.0,160.0,140.0,4,4,3,1,2,2,1,4,5,30000.0,2,3,1,2,3,2,1,4,2
148,4,2,13,35,65,16699,1,1960,6,0,2,4,15000.0,1,270.0,167.0,124.0,4,3,4,1,4,4,1,4,6,28000.0,2,2,1,2,3,2,2,4,2
149,4,1,27,80,120,16646,1,1996,1,1,1,10,3000.0,1,85.0,170.0,135.0,4,5,5,2,4,5,3,4,7,80000.0,3,3,2,2,1,2,3,2,2
150,2,2,6,17,33,16651,1,1969,1,1,1,1,1200.0,1,50.0,172.0,140.0,1,1,2,1,2,4,1,3,3,1200.0,1,2,1,2,1,3,3,3,3
151,3,1,13,37,68,16683,2,1966,1,1,1,6,24000.0,1,90.0,150.0,85.0,4,4,3,5,3,2,1,4,3,24000.0,3,3,1,2,7,2,1,3,2
152,4,1,19,57,93,16631,1,1954,1,1,1,4,30000.0,4,20.0,170.0,135.0,4,5,4,5,2,4,1,2,5,70000.0,2,3,1,2,3,3,2,4,3
153,4,2,10,28,51,16641,2,1990,1,1,1,11,0.0,4,230.0,163.0,108.0,5,5,4,1,2,4,2,4,2,73913.19252285441,3,2,1,2,1,2,1,5,3
154,4,2,18,52,86,16634,2,1948,1,1,1,1,1000.0,1,200.0,158.0,144.0,4,4,4,1,1,1,1,3,5,5000.0,2,3,1,2,3,2,1,3,2
155,3,1,16,45,76,16642,2,1966,1,1,1,4,25000.0,1,150.0,147.0,78.0,3,4,4,1,3,1,1,4,5,30000.0,3,3,1,2,3,2,2,2,2
